design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda1_N400_r017,0,400,283,143,140,117,True,included,37,7.074525226334866e-09,True,True,0.1111111111111111,0.11111111111111106,0.25,0.043699163748681415,0.11685083795222556,0.23647121956708775,0.0,0.4647044697180176,0.5625,0.35871243463940344,0.46875,0.11111111111111106,0.25
coarse_d2,coarse,2,lambda1_N400_r018,0,400,278,135,143,122,True,included,34,6.803967998127368e-09,True,True,0.1111111111111111,0.11111111111111117,0.25,0.0600278382303958,0.10979874980206088,0.23453116293078932,0.0,0.47815689567415115,0.5625,0.3699400122954387,0.46875,0.11111111111111117,0.25
coarse_d2,coarse,2,lambda1_N400_r019,0,400,273,138,135,127,True,included,45,7.764798002783156e-09,True,True,0.1111111111111111,0.11111111111111116,0.25,0.09404946432737754,0.08635715912756078,0.19573239745484325,0.0,0.5567773824483577,0.5625,0.4135249604860613,0.46875,0.11111111111111116,0.25
coarse_d2,coarse,2,lambda2_N1600_r000,3/4,1600,1034,513,521,566,True,included,40,9.036005340056986e-09,True,True,0.1111111111111111,0.11111111111111105,0.296875,0.025380767750427108,0.14514399696581815,0.2711920153138362,0.0,0.4843088370378744,0.5888671875,0.36844357813933765,0.501708984375,0.11111111111111105,0.296875
coarse_d2,coarse,2,lambda2_N1600_r001,3/4,1600,1024,521,503,576,True,included,44,8.119317440602458e-09,True,True,0.1111111111111111,0.1111111111111112,0.296875,0.020286991817268975,0.150480932001245,0.27429736134540234,0.0,0.47239823531620667,0.5888671875,0.3607824309864501,0.501708984375,0.1111111111111112,0.296875
coarse_d2,coarse,2,lambda2_N1600_r002,3/4,1600,1011,511,500,589,True,included,38,9.36271662902704e-09,True,True,0.1111111111111111,0.111111111111111,0.296875,0.0374354165089626,0.15450041141608728,0.27948874507603094,0.0,0.45874325419883005,0.5888671875,0.35968549705571934,0.501708984375,0.111111111111111,0.296875
coarse_d2,coarse,2,lambda2_N1600_r003,3/4,1600,1007,461,546,593,True,included,39,9.46208912039177e-09,True,True,0.1111111111111111,0.11111111111111142,0.296875,0.03054223451100537,0.1494469703622338,0.26996241185584147,-4.547473508864641e-13,0.4772181921052499,0.5888671875,0.36018347337584866,0.501708984375,0.11111111111111142,0.296875
coarse_d2,coarse,2,lambda2_N1600_r004,3/4,1600,962,476,486,638,True,included,45,7.3871509048406696e-09,True,True,0.1111111111111111,0.11111111111111116,0.296875,0.03264310181650586,0.1406982865928629,0.2659847147108131,-2.2737367544323206e-13,0.494190703922254,0.5888671875,0.3755497017489027,0.501708984375,0.11111111111111116,0.296875
coarse_d2,coarse,2,lambda2_N1600_r005,3/4,1600,988,497,491,612,True,included,41,7.812280794382326e-09,True,True,0.1111111111111111,0.11111111111111065,0.296875,0.01311413256421398,0.14590363127228878,0.2723966665477248,0.0,0.4813988879255534,0.5888671875,0.3682700431817584,0.501708984375,0.11111111111111065,0.296875
coarse_d2,coarse,2,lambda2_N1600_r006,3/4,1600,1006,495,511,594,True,included,41,7.587641493684522e-09,True,True,0.1111111111111111,0.11111111111111086,0.296875,0.03747445814834487,0.13484916528480662,0.25845719931547406,-4.547473508864641e-13,0.5036616158166751,0.5888671875,0.3886396239230123,0.501708984375,0.11111111111111086,0.296875
