A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
68,92,98,142,not_certified,0.11111111111111119,46,7.777407562070596e-09,True,True,0.44943827534587355,0.33483471807134535,0.11111111111111119,0.5625,0.46875,0.25,lambda1_N400_r012,included,0.02927064798280579,0,5.551115123125783e-16,0.04787305973046076,400,-5.684341886080802e-14,0.12910768086186386,12,0.25531447922225803,computed,129,True,0.25,129
65,105,106,124,not_certified,0.11111111111111113,34,9.893079592253027e-09,True,True,0.49771326022829687,0.3714725967032964,0.11111111111111113,0.5625,0.46875,0.25,lambda1_N400_r013,included,0.016535945694153686,0,3.3306690738754696e-16,0.07020626971979219,400,0.0,0.104801937480796,13,0.22074905979387768,computed,133,True,0.25,143
67,100,111,122,not_certified,0.11111111111111091,37,7.612674206441842e-09,True,True,0.5118107560292728,0.40287656480191614,0.11111111111111091,0.5625,0.46875,0.25,lambda1_N400_r014,included,0.015360257159305625,0,5.551115123125783e-16,0.04971311117269631,400,0.0,0.09345022271403858,14,0.2222877836889976,computed,143,True,0.25,135
75,100,94,131,not_certified,0.11111111111111097,41,7.0191816275059845e-09,True,True,0.47203253612406026,0.35749026504222536,0.11111111111111097,0.5625,0.46875,0.25,lambda1_N400_r015,included,0.008809322713277473,0,3.3306690738754696e-16,0.046571344976889986,400,-5.684341886080802e-14,0.11525799191351675,15,0.23772615529871607,computed,124,True,0.25,145
74,96,95,135,not_certified,0.11111111111111097,31,9.334930708510516e-09,True,True,0.47503670284869765,0.3760791916998615,0.11111111111111097,0.5625,0.46875,0.25,lambda1_N400_r016,included,0.004621056877670582,0,6.661338147750939e-16,0.052480177884009764,400,5.684341886080802e-14,0.10882375738836964,16,0.22885790971687792,computed,145,True,0.25,120
77,102,104,117,not_certified,0.11111111111111106,37,7.074525226334866e-09,True,True,0.46470446971801765,0.3587124346394035,0.11111111111111106,0.5625,0.46875,0.25,lambda1_N400_r017,included,0.027660516384671256,0,4.440892098500626e-16,0.043699163748681415,400,0.0,0.11685083795222553,17,0.23647121956708775,computed,143,True,0.25,140
83,99,96,122,not_certified,0.11111111111111117,34,6.803967998127368e-09,True,True,0.47815689567415115,0.3699400122954387,0.11111111111111117,0.5625,0.46875,0.25,lambda1_N400_r018,included,0.021996685356359184,0,2.220446049250313e-16,0.0600278382303958,400,0.0,0.10979874980206088,18,0.23453116293078932,computed,135,True,0.25,143
71,104,98,127,not_certified,0.11111111111111116,45,7.764798002783156e-09,True,True,0.5567773824483577,0.4135249604860613,0.11111111111111116,0.5625,0.46875,0.25,lambda1_N400_r019,included,0.02993917444864951,0,2.220446049250313e-16,0.09404946432737754,400,0.0,0.08635715912756078,19,0.19573239745484325,computed,138,True,0.25,135
234,394,402,570,not_certified,0.11111111111111073,41,8.378029430513406e-09,True,True,0.473964454750068,0.36688762318708096,0.11111111111111073,0.5625,0.46875,0.25,lambda1_N1600_r000,included,0.02239559108396114,0,8.881784197001252e-16,0.03167445272601647,1600,2.2737367544323206e-13,0.11181027090488319,0,0.23478836765364255,computed,520,True,0.25,510
296,376,408,520,not_certified,0.1111111111111116,42,8.36920603601525e-09,True,True,0.4619505926346653,0.35328458094279375,0.1111111111111116,0.5625,0.46875,0.25,lambda1_N1600_r001,included,0.014657549249448225,0,1.1102230246251565e-15,0.03561728442134614,1600,0.0,0.11934902565775482,1,0.24719321308741304,computed,554,True,0.25,526
